,Feature 1,Feature 2
0,0.679113169,1.274089458
1,-0.528303357,-1.244238373
2,-0.34224245,1.47052528
3,-1.096100169,-1.442119592
4,-0.330366222,2.19088133
5,1.090822411,0.955169743
6,1.101002035,1.314642856
7,0.299073869,1.274351059
8,-0.897031964,1.588864316
9,1.778512574,-0.409582634
10,-0.651589916,-0.922931776
11,-0.218390356,2.182717844
12,-1.008442294,-1.303178346
13,0.744715191,0.092081235
14,0.639525742,1.296414521
15,-0.371084718,0.564419562
16,-1.045202048,1.796502257
17,-0.165230097,1.248425199
18,1.954393857,0.942820502
19,-1.092141426,-0.927078893
20,-0.996000532,-1.31491432
21,-0.675907907,0.870808733
22,1.439757304,-0.656937261
23,-0.968854867,-1.251675416
24,-0.544138328,-1.27540473
25,2.211712133,0.340268611
26,-0.514730525,-0.374737864
27,-0.986386442,-1.413663059
28,-0.210472871,-0.258498969
29,-0.301523953,1.206176736
30,-0.760738108,-1.157436778
31,-0.741509929,-0.894707362
32,-0.971682541,-1.239160762
33,-1.112500674,-1.388092992
34,0.483438173,-0.768102332
35,0.183704796,-0.239649787
36,0.212547064,1.855458273
37,0.188794608,-0.521326928
38,0.320564187,0.762604133
39,-0.742640998,-1.172385337
40,-1.094403565,-0.622312773
41,-0.356380817,0.628576286
42,-0.885155736,-0.166881008
43,-0.485888257,-0.711542681
44,2.720127804,-0.650010913
45,-0.366560441,-0.672913186
46,-1.106845328,-0.920765318
47,1.747408167,0.408289214
48,-0.289647725,-0.576784781
49,-0.786187168,-1.228170375
50,-0.120552858,1.172123527
51,-0.678170046,-0.980577239
52,0.4528993,-0.171605444
53,-0.648762243,0.553155197
54,-1.12890118,-1.489341067
55,-0.103586818,-1.408604672
56,-0.123946066,1.112308924
57,-1.048029722,-1.476280164
58,-0.827471199,-0.76711456
59,-0.792408049,-0.380950147
60,-0.183892741,-0.858116395
61,-0.953585431,0.016239976
62,-0.729068166,1.0121904
63,0.601634919,0.173215728
64,-0.798063396,-0.651277097
65,0.569964978,-0.593865663
66,0.473824083,1.507956808
67,-0.541310655,-0.727967524
68,-0.694570551,-1.230123935
69,-1.089879287,2.077916342
70,-0.850658121,-1.352672267
71,2.253561699,0.040166583
72,-0.392009501,-0.843387063
73,0.155993597,-0.491417803
74,-0.751124018,-0.994243383
75,-0.947930084,-1.024676129
76,-0.291909864,-0.297021858
77,-1.116459417,-0.114766231
78,0.317736513,0.156072126
79,-0.720019611,-0.895140051
80,-0.825774595,-0.761793036
81,3.109781194,-0.759596849
82,0.066639119,-0.330171713
83,-0.499461089,1.500505978
84,1.848638873,0.32851636
85,0.999771329,0.649408496
86,1.526849644,1.071610195
87,-0.544138328,-0.844128226
88,-0.846699378,0.24809636
89,-0.720585146,-1.102260412
90,-0.294737537,-0.800643142
91,-1.037850097,-1.119101659
92,1.805658238,0.675820299
93,0.036100246,1.9589021
94,-0.613699093,-1.025803685
95,-0.768655593,1.358066507
96,-0.92191549,0.319982122
97,1.266703695,1.378395662
98,-0.906080519,-0.640874355
99,-0.790711445,0.30321462
100,1.082904926,0.464899063
101,-0.890245548,1.75037258
102,0.838028413,0.115141572
103,1.378114025,0.760235609
104,0.425188101,-0.750839049
105,-1.081961802,-0.760058428
106,-0.088317382,-0.207602571
107,1.753629048,0.356258578
108,-1.125507972,-1.232835961
109,0.454595904,0.001076842
110,2.277314155,0.256879571
111,0.420098289,-1.051616254
112,-0.405016799,-0.12661003
113,1.691985769,0.066590376
114,-1.053685068,-0.928958219
115,-0.273812754,-0.278708848
116,-0.811070694,-1.351364527
117,-1.010138899,-1.193567684
118,1.075552975,0.986304293
119,0.042321128,1.082223302
120,1.99228468,-0.220572911
121,-0.570152923,-0.889947205
122,-0.303220557,-0.85556773
123,0.943217862,0.12370064
124,0.750936073,1.495371187
125,-1.114762813,-1.277319177
126,-1.031629216,-0.720643536
127,-0.032329449,-0.781232125
128,0.265141789,-0.452331796
129,0.037231316,-0.684366217
130,1.007688814,1.548000001
131,1.105526313,0.956117573
132,0.982239754,0.765780016
133,1.953262787,-0.280437339
134,2.387027882,0.890902007
135,-0.290778795,1.418556009
136,0.555826611,-0.249726148
137,0.20349851,0.170263002
138,-0.044771212,-1.193541525
139,1.388859184,-0.737251841
140,2.843979897,-0.310264763
141,-0.882328062,-0.771050889
142,-0.769786663,0.028125351
143,-0.655548659,-0.472952006
144,-0.936619391,-1.204595769
145,0.011216721,1.735677999
146,-0.945667946,-1.299149441
147,-0.803718743,-0.918782721
148,1.115140402,1.78221254
149,-0.841609566,-0.426224334
150,-0.9824277,-1.132841547
151,1.098174362,1.566488254
152,-0.950192223,1.000009359
153,-0.662335075,0.467099015
154,-0.239880674,-0.771182547
155,-0.896466429,1.106917089
156,1.859949566,-0.11018608
157,-0.787883772,-0.947710042
158,-1.036153493,0.926524055
159,-0.52377908,-1.076045425
