Label	1	2	3	4	5	6	7	8	9	10
2	3.201	5.774701479	3.429271509	0.108731597	-0.146594209	-2.140013156	8.025347331	-0.082736883	-0.316597925	8.970594702
1	1.066	0.519693458	5.936319736	0.19472858	-1.031532563	0.678118588	12.40887466	-0.057266412	0.129536154	6.406818035
2	1.395	6.18460515	4.393926764	0.236127673	-0.306629726	-1.152583351	12.27118782	-0.216143346	0.654901697	17.42562827
1	0.062	0.106773671	0.227877344	0.241524643	-1.734882845	-2.111483361	12.53193079	0.991367763	0.012839022	3.487370091
2	1.416	7.687775933	3.696550805	0.416806978	-0.16730342	-1.977925232	12.91515299	-0.142540374	0.773265509	20.23465854
2	3.929	5.109210021	1.878944788	0.502120872	0.657464241	-0.527106429	9.179846913	0.507144633	-0.359042395	16.46087899
2	3.947	5.859324469	1.153662192	0.507744628	0.533879437	0.229925275	8.75453989	0.79247962	-0.274797071	9.065836314
2	2.529	5.775247364	1.215303078	0.511342921	-0.493071807	-0.073267454	12.74701658	0.77139188	0.51039382	8.659029406
2	0.414	6.431543842	2.74162632	0.658268566	-0.287392126	-2.756843379	10.78617133	0.142027865	-0.491328216	10.90229338
2	5.145	2.261374009	1.862050936	0.722430263	-0.789449606	1.2384776	8.796320955	0.514424361	-1.518901366	19.04618511
1	0.848	1.190165636	0.009058933	0.794686041	-2.145244465	-3.338397625	8.153719346	0.999986323	-1.134761919	0.074790793
2	1.614	7.670741144	4.080048519	0.833665094	-1.628040868	-0.50904631	10.19672228	-0.197705106	-1.714917781	6.65390479
1	0.217	0.396703105	4.809722968	0.837892989	0.568168004	1.307683566	10.4133593	-0.20692809	-0.011786561	4.305879625
2	3.317	3.308198661	0.779481424	0.845310715	-2.614122286	-1.727452636	13.0072622	0.901767047	0.4010224	3.717246878
2	3.131	5.821287306	3.226665913	0.881875306	-0.037554626	0.486201841	9.110740249	-0.026333894	-0.98863987	12.66371236
2	1.344	4.293829549	2.809000749	0.886208818	-2.350962834	-1.565452513	8.708318348	0.116231364	-1.464931916	1.989717961
2	0.152	6.864823033	2.811000366	0.895119349	-1.589874574	1.281363099	8.927791344	0.115476079	-1.878841284	9.289314166
2	1.708	5.721147734	4.484196331	0.90672248	-1.010086915	-1.999191504	9.989481679	-0.217224396	-1.691625265	3.391231956
2	5.456	5.083440795	4.519788746	0.927002184	-1.48451198	0.903325087	10.72504975	-0.217158344	-1.263516749	9.993585963
1	0.069	1.181511824	5.59886212	0.933222048	0.662457752	-3.234787128	9.507136583	-0.112906644	-0.381553842	0.009255953
1	0.239	0.372213585	3.985110838	0.937386792	0.246621381	-2.854679277	10.46659516	-0.187444414	-0.260523294	4.056078289
2	0.805	4.933173454	1.167043118	0.959987224	-1.835346251	0.393483345	12.2189491	0.787968266	-0.024956535	8.259165241
2	4.546	1.745217799	4.868811436	1.022118418	0.513577926	-1.161132237	10.01918093	-0.202881328	-0.337186264	15.29394489
1	0.287	0.504174541	5.695678041	1.049916708	-0.074419017	0.214672224	13.66762054	-0.097317295	0.378131482	2.798778083
1	1.038	0.454658455	1.226700725	1.082608629	-2.269898568	-0.138134034	10.25195093	0.767408801	-1.442379448	0.497807316
2	5.911	3.826092573	3.771601701	1.193634215	0.217775796	-1.43568543	9.484560203	-0.156207393	-0.782155084	16.62931827
1	1.09	2.334084775	4.557174885	1.263455257	-1.253495063	-0.773167385	10.08923826	-0.216796257	-1.737330591	0.588804781
1	0.256	0.166154069	5.056914487	1.26665146	0.53178581	1.578253148	13.52595532	-0.186128482	1.080933487	0.004179179
1	1.628	2.576641092	2.591818329	1.285181423	0.663130582	-1.98203899	13.24315666	0.201593922	1.395176587	0.030773643
2	1.467	5.632987643	3.626435223	1.293531487	-0.184272841	-2.601193964	11.71793912	-0.128519896	0.477928987	5.809889103
1	0.655	0.700822806	2.170700721	1.337013126	0.15818828	1.62701567	9.529426791	0.380241083	-0.83699994	1.600552609
1	0.689	1.24906167	1.47822918	1.340410061	-1.804109441	-1.974668159	8.912532606	0.673588868	-1.844551915	0.722083214
1	0.282	0.530288935	2.284123292	1.406141891	-2.883779716	-0.331620151	13.92980084	0.331063151	-0.049083237	4.049282386
1	0.033	0.219511263	4.187918729	1.440052638	-1.310997395	-0.786621947	11.65971929	-0.206687234	-0.350055554	0.735248847
1	2.855	1.513249056	4.349711097	1.450819401	-1.649233148	-1.772435315	9.519615275	-0.214945338	-1.992431721	0.133112985
1	2.325	2.615973781	5.460528127	1.45312046	0.008044936	-0.6480863	13.31045752	-0.134228048	0.743751498	0.127225423
2	2.376	6.987846865	2.834295762	1.458592683	0.438076347	-1.3443138	9.174020839	0.106722547	-0.54452658	14.39299066
1	2.334	2.028196599	3.57235516	1.469459307	0.691349961	1.265475298	13.29548261	-0.116887531	1.383344043	5.891642746
2	2.567	4.707382344	1.316293273	1.484608366	-1.718696931	-1.125464905	8.109229913	0.735237768	-1.24156828	16.62554193
1	0.687	0.669629569	0.794321228	1.50303362	0.308057145	0.642458073	8.477762062	0.898110338	-0.280899994	6.485718074
